Date,Time,Open,High,Low,Close,Volume
2024.12.11,15:40,2697.55,2701.04,2696.59,2700.24,2068
2024.12.11,15:45,2700.24,2700.37,2697.92,2699.76,2065
2024.12.11,15:50,2699.73,2701.99,2699.07,2701.54,1938
2024.12.11,15:55,2701.58,2701.99,2700.05,2700.98,1848
2024.12.11,16:00,2701.02,2704.26,2700.84,2702.85,1985
2024.12.11,16:05,2702.85,2703.65,2698.57,2699.24,1917
2024.12.11,16:10,2699.24,2702.52,2699.18,2702.03,1780
2024.12.11,16:15,2701.98,2703.61,2701.63,2702.29,1994
2024.12.11,16:20,2702.28,2702.56,2699.78,2700.45,1900
2024.12.11,16:25,2700.43,2701.10,2699.55,2700.54,1923
2024.12.11,16:30,2700.59,2701.10,2696.39,2699.59,2202
2024.12.11,16:35,2699.60,2702.08,2698.86,2700.12,2094
2024.12.11,16:40,2700.02,2701.93,2699.69,2701.22,1703
2024.12.11,16:45,2701.38,2702.66,2700.12,2700.78,1958
2024.12.11,16:50,2700.77,2704.65,2700.51,2704.33,2016
2024.12.11,16:55,2704.32,2706.89,2704.32,2706.32,1838
2024.12.11,17:00,2706.27,2710.39,2705.26,2709.71,2175
2024.12.11,17:05,2709.73,2710.15,2707.36,2708.29,2090
2024.12.11,17:10,2708.22,2713.32,2707.58,2712.38,2144
2024.12.11,17:15,2712.48,2713.59,2710.00,2711.60,2135
2024.12.11,17:20,2711.62,2711.91,2709.28,2710.84,1983
2024.12.11,17:25,2710.82,2711.93,2708.98,2711.54,2173
2024.12.11,17:30,2711.63,2713.51,2711.06,2713.41,1992
2024.12.11,17:35,2713.41,2714.70,2711.37,2714.36,2137
2024.12.11,17:40,2714.34,2715.92,2713.93,2714.92,1780
2024.12.11,17:45,2714.94,2715.34,2712.62,2713.04,2286
2024.12.11,17:50,2713.01,2715.08,2713.01,2714.13,2069
2024.12.11,17:55,2714.02,2714.41,2712.29,2713.07,2107
2024.12.11,18:00,2713.10,2714.42,2711.92,2713.75,2228
2024.12.11,18:05,2713.99,2714.57,2711.04,2712.68,1965
2024.12.11,18:10,2712.65,2715.99,2712.34,2715.87,2013
2024.12.11,18:15,2715.84,2716.81,2714.23,2714.69,1611
2024.12.11,18:20,2714.69,2716.04,2714.34,2714.97,1720
2024.12.11,18:25,2714.91,2716.49,2714.83,2716.14,1640
2024.12.11,18:30,2716.09,2718.46,2714.25,2714.33,1749
2024.12.11,18:35,2714.29,2714.66,2712.54,2714.21,1513
2024.12.11,18:40,2714.22,2714.59,2713.20,2714.24,1421
2024.12.11,18:45,2714.26,2714.78,2712.41,2713.70,1817
2024.12.11,18:50,2713.66,2715.92,2713.36,2715.44,1392
2024.12.11,18:55,2715.44,2716.17,2714.36,2715.15,1381
2024.12.11,19:00,2715.21,2718.35,2715.05,2718.18,1379
2024.12.11,19:05,2718.15,2719.91,2717.91,2719.11,1458
2024.12.11,19:10,2719.13,2719.63,2718.30,2718.91,1328
2024.12.11,19:15,2718.94,2718.96,2716.14,2716.17,1233
2024.12.11,19:20,2716.16,2718.02,2715.58,2717.93,1119
2024.12.11,19:25,2717.93,2718.20,2716.69,2717.05,1026
2024.12.11,19:30,2717.01,2717.39,2714.45,2714.49,1241
2024.12.11,19:35,2714.49,2716.53,2713.85,2716.19,1127
2024.12.11,19:40,2716.18,2718.14,2715.95,2717.84,1094
2024.12.11,19:45,2717.84,2718.34,2716.90,2717.45,1307
2024.12.11,19:50,2717.48,2718.11,2716.47,2718.11,1234
2024.12.11,19:55,2718.11,2718.41,2717.24,2717.94,1411
2024.12.11,20:00,2717.94,2719.80,2716.80,2719.32,1469
2024.12.11,20:05,2719.41,2719.82,2718.71,2719.22,1160
2024.12.11,20:10,2719.22,2719.91,2718.63,2719.19,1048
2024.12.11,20:15,2719.20,2720.24,2718.55,2719.90,1294
2024.12.11,20:20,2719.97,2721.06,2719.69,2720.79,1388
2024.12.11,20:25,2720.65,2721.04,2719.17,2719.27,1306
2024.12.11,20:30,2719.43,2720.16,2717.83,2717.90,926
2024.12.11,20:35,2717.86,2719.04,2717.86,2718.33,1275
2024.12.11,20:40,2718.31,2718.52,2716.38,2716.48,1479
2024.12.11,20:45,2716.41,2717.26,2715.37,2715.55,1247
2024.12.11,20:50,2715.51,2715.59,2714.42,2714.91,1152
2024.12.11,20:55,2714.90,2715.20,2713.81,2714.11,1156
2024.12.11,21:00,2714.07,2715.08,2713.13,2714.83,1063
2024.12.11,21:05,2714.82,2715.15,2713.89,2714.52,1568
2024.12.11,21:10,2714.53,2715.81,2714.24,2715.79,1520
2024.12.11,21:15,2715.83,2716.21,2715.01,2715.91,1287
2024.12.11,21:20,2715.89,2716.30,2714.75,2715.08,1202
2024.12.11,21:25,2715.08,2716.45,2714.63,2716.23,884
2024.12.11,21:30,2716.24,2717.79,2715.71,2717.76,1243
2024.12.11,21:35,2717.75,2718.88,2717.75,2718.05,1260
